I/SleepMonitor: 1571685790892, 9.771098;1571685790987, 9.723691;1571685791082, 9.79262;1571685791179, 9.796924;1571685791274, 9.803969;1571685791370, 9.811463;1571685791465, 9.775847;1571685791562, 9.777865;1571685791658, 9.803867;1571685791755, 9.801502;1571685791849, 9.794909;
I/SleepMonitor: 1571685791946, 9.754406;1571685792041, 9.759032;1571685792137, 9.767964;1571685792233, 9.822838;1571685792329, 9.856725;1571685792424, 9.766357;1571685792521, 9.737743;1571685792615, 9.735045;1571685792712, 9.852212;1571685792808, 9.820325;1571685792903, 9.88986;
I/SleepMonitor: 1571685793001, 9.801759;1571685793095, 9.7017;1571685793191, 9.781787;1571685793286, 9.758767;1571685793383, 9.777597;1571685793480, 9.813523;1571685793574, 9.813501;1571685793671, 9.770287;1571685793765, 9.794291;1571685793861, 9.842194;1571685793957, 9.797123;
I/SleepMonitor: 1571685794053, 9.768415;1571685794149, 9.783046;1571685794245, 9.768341;1571685794339, 9.7941885;1571685794436, 9.842105;1571685794532, 9.818122;1571685794629, 9.744602;1571685794725, 9.744843;1571685794821, 9.801813;1571685794916, 9.806076;1571685795011, 9.839387;
I/SleepMonitor: 1571685795108, 9.844359;1571685795202, 9.756658;1571685795299, 9.735744;1571685795395, 9.749457;1571685795490, 9.778229;1571685795587, 9.794727;1571685795682, 9.847627;1571685795779, 9.821699;1571685795874, 9.776002;1571685795970, 9.7975025;1571685796065, 9.792922;
I/SleepMonitor: 1571685796161, 9.7307625;1571685796257, 9.81935;1571685796352, 9.80768;1571685796447, 9.761294;1571685796543, 9.821184;1571685796639, 9.895164;1571685796735, 9.792777;1571685796830, 9.74872;1571685796926, 9.75023;1571685797022, 9.773457;1571685797118, 9.658096;
I/SleepMonitor: 1571685797215, 10.036123;1571685797310, 9.769452;1571685797406, 9.767298;1571685797501, 9.880338;1571685797597, 9.840963;1571685797693, 9.799193;1571685797789, 9.880969;1571685797885, 9.849745;1571685797980, 9.809381;1571685798076, 9.757082;1571685798172, 9.831099;
I/SleepMonitor: 1571685798269, 9.802465;1571685798365, 9.783483;1571685798461, 9.964096;1571685798555, 9.756782;1571685798655, 9.811827;1571685798746, 9.8663;1571685798842, 9.850476;1571685798938, 9.762381;1571685799035, 9.724369;1571685799130, 9.704828;1571685799227, 10.082808;
I/SleepMonitor: 1571685799322, 9.743821;1571685799419, 10.26276;1571685799514, 9.956911;1571685799614, 9.699298;1571685799705, 9.746889;1571685799801, 9.751017;1571685799896, 9.779356;1571685799992, 9.887806;1571685800087, 9.934847;1571685800183, 9.606435;1571685800278, 9.813055;
I/SleepMonitor: 1571685800375, 9.7744255;1571685800471, 9.788277;1571685800566, 9.790774;1571685800664, 9.831464;1571685800759, 9.783702;1571685800854, 9.76224;1571685800949, 9.850471;1571685801045, 9.726657;1571685801141, 9.801128;1571685801237, 9.736764;1571685801333, 9.773975;
